time	V(c)
1.884999999999276e-003	-6.880572e-003
1.904999999999268e-003	-5.758568e-003
1.924999999999261e-003	-4.570759e-003
1.944999999999253e-003	-3.341700e-003
1.964999999999245e-003	-2.094662e-003
1.984999999999237e-003	-8.511783e-004
2.004999999999230e-003	3.692191e-004
2.024999999999222e-003	1.549111e-003
2.044999999999214e-003	2.673189e-003
2.064999999999206e-003	3.728169e-003
2.084999999999199e-003	4.702659e-003
2.104999999999191e-003	5.587004e-003
2.124999999999183e-003	6.373113e-003
2.144999999999175e-003	7.054309e-003
2.164999999999168e-003	7.625183e-003
2.184999999999160e-003	8.081468e-003
2.204999999999152e-003	8.419942e-003
2.224999999999144e-003	8.638317e-003
2.244999999999137e-003	8.735092e-003
2.264999999999129e-003	8.709396e-003
2.284999999999121e-003	8.561058e-003
2.304999999999113e-003	8.290880e-003
2.324999999999106e-003	7.900716e-003
2.344999999999098e-003	7.393394e-003
2.364999999999090e-003	6.772715e-003
2.384999999999082e-003	6.043526e-003
2.404999999999075e-003	5.211852e-003
2.424999999999067e-003	4.285038e-003
2.444999999999059e-003	3.271908e-003
2.464999999999051e-003	2.182935e-003
2.484999999999044e-003	1.030408e-003
2.504999999999036e-003	-1.714199e-004
2.524999999999028e-003	-1.406217e-003
2.544999999999020e-003	-2.655521e-003
2.564999999999013e-003	-3.898789e-003
2.584999999999005e-003	-5.113577e-003
2.604999999998997e-003	-6.275889e-003
2.624999999998989e-003	-7.360731e-003
2.644999999998982e-003	-8.342864e-003
2.664999999998974e-003	-9.197767e-003
2.684999999998966e-003	-9.902737e-003
2.704999999998958e-003	-1.043807e-002
2.724999999998951e-003	-1.078820e-002
2.744999999998943e-003	-1.094267e-002
2.764999999998935e-003	-1.089680e-002
2.784999999998927e-003	-1.065206e-002
2.804999999998920e-003	-1.021588e-002
2.824999999998912e-003	-9.601230e-003
2.844999999998904e-003	-8.825745e-003
2.864999999998896e-003	-7.910658e-003
2.884999999998889e-003	-6.879636e-003
2.904999999998881e-003	-5.757626e-003
2.924999999998873e-003	-4.569810e-003
2.944999999998865e-003	-3.340745e-003
2.964999999998857e-003	-2.093701e-003
2.984999999998850e-003	-8.502110e-004
3.004999999998842e-003	3.701921e-004
3.024999999998834e-003	1.550090e-003
3.044999999998826e-003	2.674172e-003
3.064999999998819e-003	3.729157e-003
3.084999999998811e-003	4.703652e-003
3.104999999998803e-003	5.588000e-003
3.124999999998795e-003	6.374112e-003
3.144999999998788e-003	7.055311e-003
3.164999999998780e-003	7.626186e-003
3.184999999998772e-003	8.082473e-003
3.204999999998764e-003	8.420948e-003
3.224999999998757e-003	8.639324e-003
3.244999999998749e-003	8.736100e-003
3.264999999998741e-003	8.710403e-003
3.284999999998733e-003	8.562065e-003
3.304999999998726e-003	8.291886e-003
