time	V(vout)
1.074999999999590e-003	1.232115e+000
1.104999999999579e-003	1.222928e+000
1.134999999999567e-003	1.214993e+000
1.154999999999559e-003	1.210540e+000
1.174999999999551e-003	1.206840e+000
1.194999999999544e-003	1.203950e+000
1.214999999999536e-003	1.201917e+000
1.234999999999528e-003	1.200772e+000
1.254999999999520e-003	1.200534e+000
1.274999999999513e-003	1.201205e+000
1.294999999999505e-003	1.202777e+000
1.314999999999497e-003	1.205223e+000
1.334999999999489e-003	1.208505e+000
1.354999999999482e-003	1.212573e+000
1.374999999999474e-003	1.217360e+000
1.404999999999462e-003	1.225726e+000
1.434999999999451e-003	1.235246e+000
1.464999999999439e-003	1.245582e+000
1.476428571428006e-003	1.249713e+000
1.487857142856573e-003	1.253834e+000
1.499285714285140e-003	1.257947e+000
1.510714285713707e-003	1.262051e+000
1.522142857142274e-003	1.266146e+000
1.533571428570841e-003	1.270233e+000
1.544999999999408e-003	1.274311e+000
1.574999999999396e-003	1.284432e+000
1.604999999999385e-003	1.293627e+000
1.634999999999373e-003	1.301569e+000
1.654999999999365e-003	1.306028e+000
1.674999999999358e-003	1.309733e+000
1.694999999999350e-003	1.312626e+000
1.714999999999342e-003	1.314662e+000
1.734999999999334e-003	1.315808e+000
1.754999999999327e-003	1.316046e+000
1.774999999999319e-003	1.315373e+000
1.794999999999311e-003	1.313800e+000
1.814999999999303e-003	1.311350e+000
1.834999999999296e-003	1.308063e+000
1.854999999999288e-003	1.303990e+000
1.874999999999280e-003	1.299197e+000
1.904999999999268e-003	1.290823e+000
1.934999999999257e-003	1.281297e+000
1.964999999999245e-003	1.270957e+000
1.976428571427812e-003	1.266826e+000
1.987857142856379e-003	1.262704e+000
1.999285714284946e-003	1.258591e+000
2.010714285713513e-003	1.254487e+000
2.022142857142080e-003	1.250392e+000
2.033571428570647e-003	1.246307e+000
2.044999999999214e-003	1.242230e+000
2.074999999999203e-003	1.232115e+000
2.104999999999191e-003	1.222928e+000
2.134999999999179e-003	1.214993e+000
2.154999999999172e-003	1.210540e+000
2.174999999999164e-003	1.206840e+000
2.194999999999156e-003	1.203950e+000
2.214999999999148e-003	1.201917e+000
2.234999999999141e-003	1.200772e+000
2.254999999999133e-003	1.200534e+000
2.274999999999125e-003	1.201205e+000
2.294999999999117e-003	1.202777e+000
2.314999999999109e-003	1.205223e+000
2.334999999999102e-003	1.208505e+000
2.354999999999094e-003	1.212573e+000
2.374999999999086e-003	1.217361e+000
2.404999999999075e-003	1.225726e+000
2.434999999999063e-003	1.235246e+000
2.464999999999051e-003	1.245582e+000
2.476428571427619e-003	1.249713e+000
2.487857142856185e-003	1.253834e+000
2.499285714284752e-003	1.257947e+000
2.510714285713319e-003	1.262051e+000
2.522142857141886e-003	1.266146e+000
2.533571428570454e-003	1.270233e+000
2.544999999999020e-003	1.274311e+000
2.574999999999009e-003	1.284432e+000
2.604999999998997e-003	1.293627e+000
2.634999999998985e-003	1.301570e+000
2.654999999998978e-003	1.306028e+000
2.674999999998970e-003	1.309733e+000
2.694999999998962e-003	1.312626e+000
2.714999999998954e-003	1.314662e+000
2.734999999998947e-003	1.315808e+000
2.754999999998939e-003	1.316046e+000
2.774999999998931e-003	1.315373e+000
2.794999999998923e-003	1.313800e+000
2.814999999998916e-003	1.311350e+000
2.834999999998908e-003	1.308063e+000
2.854999999998900e-003	1.303990e+000
2.874999999998892e-003	1.299197e+000
2.904999999998881e-003	1.290824e+000
2.934999999998869e-003	1.281298e+000
2.964999999998857e-003	1.270957e+000
2.976428571427425e-003	1.266826e+000
2.987857142855991e-003	1.262704e+000
2.999285714284559e-003	1.258591e+000
3.010714285713125e-003	1.254487e+000
3.022142857141693e-003	1.250392e+000
3.033571428570260e-003	1.246307e+000
3.044999999998826e-003	1.242230e+000
3.074999999998815e-003	1.232116e+000
3.104999999998803e-003	1.222928e+000
3.134999999998792e-003	1.214993e+000
3.154999999998784e-003	1.210540e+000
3.174999999998776e-003	1.206840e+000
3.194999999998768e-003	1.203950e+000
3.214999999998761e-003	1.201917e+000
3.234999999998753e-003	1.200772e+000
3.254999999998745e-003	1.200534e+000
3.274999999998737e-003	1.201205e+000
3.294999999998730e-003	1.202777e+000
3.314999999998722e-003	1.205223e+000
3.334999999998714e-003	1.208505e+000
3.354999999998706e-003	1.212573e+000
3.374999999998699e-003	1.217361e+000
3.404999999998687e-003	1.225726e+000
3.434999999998675e-003	1.235246e+000
3.464999999998664e-003	1.245583e+000
3.476428571427231e-003	1.249713e+000
3.487857142855798e-003	1.253834e+000
3.499285714284365e-003	1.257947e+000
3.510714285712932e-003	1.262051e+000
3.522142857141499e-003	1.266147e+000
3.533571428570066e-003	1.270233e+000
3.544999999998633e-003	1.274311e+000
3.574999999998621e-003	1.284432e+000
3.604999999998609e-003	1.293627e+000
3.634999999998598e-003	1.301570e+000
3.654999999998590e-003	1.306028e+000
3.674999999998582e-003	1.309733e+000
3.694999999998574e-003	1.312626e+000
3.714999999998567e-003	1.314662e+000
3.734999999998559e-003	1.315808e+000
3.754999999998551e-003	1.316046e+000
3.774999999998543e-003	1.315374e+000
3.794999999998536e-003	1.313800e+000
3.814999999998528e-003	1.311350e+000
3.834999999998520e-003	1.308063e+000
3.854999999998512e-003	1.303991e+000
3.874999999998505e-003	1.299197e+000
3.904999999998493e-003	1.290824e+000
3.934999999998481e-003	1.281298e+000
3.964999999998470e-003	1.270957e+000
3.976428571427037e-003	1.266826e+000
3.987857142855604e-003	1.262704e+000
3.999285714284171e-003	1.258591e+000
4.010714285712738e-003	1.254487e+000
4.022142857141304e-003	1.250393e+000
4.033571428569872e-003	1.246307e+000
4.044999999998439e-003	1.242230e+000
4.074999999998427e-003	1.232116e+000
4.104999999998416e-003	1.222928e+000
4.134999999998404e-003	1.214993e+000
4.154999999998396e-003	1.210540e+000
4.174999999998388e-003	1.206840e+000
4.194999999998381e-003	1.203950e+000
4.214999999998373e-003	1.201917e+000
4.234999999998365e-003	1.200772e+000
4.254999999998357e-003	1.200534e+000
4.274999999998350e-003	1.201205e+000
4.294999999998342e-003	1.202777e+000
4.314999999998334e-003	1.205223e+000
4.334999999998326e-003	1.208505e+000
4.354999999998319e-003	1.212573e+000
4.374999999998311e-003	1.217361e+000
4.404999999998299e-003	1.225726e+000
4.434999999998288e-003	1.235246e+000
4.464999999998276e-003	1.245583e+000
4.476428571426843e-003	1.249713e+000
4.487857142855410e-003	1.253834e+000
4.499285714283977e-003	1.257947e+000
4.510714285712544e-003	1.262051e+000
4.522142857141111e-003	1.266147e+000
4.533571428569678e-003	1.270233e+000
