time	V(n002)
1.324999999999493e-003	-3.127836e-001
1.344999999999486e-003	-2.902809e-001
1.364999999999478e-003	-2.631808e-001
1.384999999999470e-003	-2.318999e-001
1.404999999999462e-003	-1.969229e-001
1.424999999999455e-003	-1.587965e-001
1.444999999999447e-003	-1.181218e-001
1.464999999999439e-003	-7.554522e-002
1.484999999999431e-003	-3.174860e-002
1.504999999999424e-003	1.256274e-002
1.524999999999416e-003	5.667248e-002
1.544999999999408e-003	9.986681e-002
1.564999999999400e-003	1.414482e-001
1.584999999999393e-003	1.807493e-001
1.604999999999385e-003	2.171454e-001
1.624999999999377e-003	2.500662e-001
1.644999999999369e-003	2.790048e-001
1.664999999999361e-003	3.035250e-001
1.684999999999354e-003	3.232653e-001
1.704999999999346e-003	3.379412e-001
1.724999999999338e-003	3.473457e-001
1.744999999999330e-003	3.513481e-001
1.764999999999323e-003	3.498936e-001
1.784999999999315e-003	3.430025e-001
1.804999999999307e-003	3.307702e-001
1.824999999999299e-003	3.133683e-001
1.844999999999292e-003	2.910453e-001
1.864999999999284e-003	2.641267e-001
1.884999999999276e-003	2.330139e-001
1.904999999999268e-003	1.981814e-001
1.924999999999261e-003	1.601703e-001
1.944999999999253e-003	1.195811e-001
1.964999999999245e-003	7.706220e-002
1.984999999999237e-003	3.329860e-002
2.004999999999230e-003	-1.100206e-002
2.024999999999222e-003	-5.512308e-002
2.044999999999214e-003	-9.835255e-002
2.064999999999206e-003	-1.399964e-001
2.084999999999199e-003	-1.793906e-001
2.104999999999191e-003	-2.159119e-001
2.124999999999183e-003	-2.489874e-001
2.144999999999175e-003	-2.781028e-001
2.164999999999168e-003	-3.028092e-001
2.184999999999160e-003	-3.227285e-001
2.204999999999152e-003	-3.375575e-001
2.224999999999144e-003	-3.470718e-001
2.244999999999137e-003	-3.511279e-001
2.264999999999129e-003	-3.496643e-001
2.284999999999121e-003	-3.427028e-001
2.304999999999113e-003	-3.303480e-001
2.324999999999106e-003	-3.127860e-001
2.344999999999098e-003	-2.902834e-001
2.364999999999090e-003	-2.631832e-001
2.384999999999082e-003	-2.319023e-001
2.404999999999075e-003	-1.969253e-001
2.424999999999067e-003	-1.587989e-001
2.444999999999059e-003	-1.181241e-001
2.464999999999051e-003	-7.554760e-002
2.484999999999044e-003	-3.175097e-002
2.504999999999036e-003	1.256038e-002
2.524999999999028e-003	5.667013e-002
2.544999999999020e-003	9.986445e-002
2.564999999999013e-003	1.414459e-001
2.584999999999005e-003	1.807469e-001
2.604999999998997e-003	2.171430e-001
2.624999999998989e-003	2.500638e-001
2.644999999998982e-003	2.790024e-001
