time	V(vout)
2.504999999999036e-003	1.280441e+000
2.524999999999028e-003	1.367226e+000
2.544999999999020e-003	1.452358e+000
2.564999999999013e-003	1.534452e+000
2.584999999999005e-003	1.612177e+000
2.604999999998997e-003	1.684278e+000
2.624999999998989e-003	1.749607e+000
2.644999999998982e-003	1.807136e+000
2.664999999998974e-003	1.855975e+000
2.684999999998966e-003	1.895383e+000
2.704999999998958e-003	1.924777e+000
2.724999999998951e-003	1.943727e+000
2.744999999998943e-003	1.951961e+000
2.764999999998935e-003	1.949361e+000
2.784999999998927e-003	1.935965e+000
2.804999999998920e-003	1.911966e+000
2.824999999998912e-003	1.877711e+000
2.844999999998904e-003	1.833705e+000
2.864999999998896e-003	1.780609e+000
2.884999999998889e-003	1.719236e+000
2.904999999998881e-003	1.650543e+000
2.924999999998873e-003	1.575621e+000
2.944999999998865e-003	1.495671e+000
2.964999999998857e-003	1.411988e+000
2.984999999998850e-003	1.325933e+000
3.004999999998842e-003	1.238903e+000
3.024999999998834e-003	1.152308e+000
3.044999999998826e-003	1.067541e+000
3.064999999998819e-003	9.859526e-001
3.084999999998811e-003	9.088299e-001
3.104999999998803e-003	8.373742e-001
3.124999999998795e-003	7.726843e-001
3.144999999998788e-003	7.157425e-001
3.164999999998780e-003	6.674018e-001
3.184999999998772e-003	6.283767e-001
3.204999999998764e-003	5.992357e-001
3.224999999998757e-003	5.803982e-001
3.244999999998749e-003	5.721386e-001
3.264999999998741e-003	5.745949e-001
3.284999999998733e-003	5.877592e-001
3.304999999998726e-003	6.114547e-001
3.324999999998718e-003	6.453323e-001
3.344999999998710e-003	6.888850e-001
3.364999999998702e-003	7.414593e-001
3.384999999998695e-003	8.022628e-001
3.404999999998687e-003	8.703720e-001
3.424999999998679e-003	9.447417e-001
3.444999999998671e-003	1.024218e+000
3.464999999998664e-003	1.107552e+000
3.484999999998656e-003	1.193423e+000
3.504999999998648e-003	1.280454e+000
3.524999999998640e-003	1.367240e+000
3.544999999998633e-003	1.452371e+000
3.564999999998625e-003	1.534465e+000
3.584999999998617e-003	1.612190e+000
3.604999999998609e-003	1.684292e+000
3.624999999998602e-003	1.749621e+000
3.644999999998594e-003	1.807149e+000
3.664999999998586e-003	1.855988e+000
3.684999999998578e-003	1.895397e+000
3.704999999998571e-003	1.924790e+000
3.724999999998563e-003	1.943740e+000
3.744999999998555e-003	1.951974e+000
3.764999999998547e-003	1.949374e+000
3.784999999998540e-003	1.935978e+000
3.804999999998532e-003	1.911979e+000
3.824999999998524e-003	1.877724e+000
3.844999999998516e-003	1.833718e+000
3.864999999998509e-003	1.780622e+000
3.884999999998501e-003	1.719249e+000
3.904999999998493e-003	1.650557e+000
3.924999999998485e-003	1.575634e+000
3.944999999998478e-003	1.495685e+000
3.964999999998470e-003	1.412002e+000
3.984999999998462e-003	1.325946e+000
4.004999999998454e-003	1.238916e+000
4.024999999998447e-003	1.152321e+000
4.044999999998439e-003	1.067554e+000
4.064999999998431e-003	9.859658e-001
4.084999999998423e-003	9.088432e-001
4.104999999998416e-003	8.373874e-001
4.124999999998408e-003	7.726976e-001
4.144999999998400e-003	7.157556e-001
4.164999999998392e-003	6.674149e-001
4.184999999998385e-003	6.283898e-001
4.204999999998377e-003	5.992488e-001
4.224999999998369e-003	5.804113e-001
4.244999999998361e-003	5.721517e-001
4.264999999998353e-003	5.746080e-001
4.284999999998346e-003	5.877723e-001
4.304999999998338e-003	6.114678e-001
4.324999999998330e-003	6.453455e-001
4.344999999998322e-003	6.888982e-001
4.364999999998315e-003	7.414725e-001
4.384999999998307e-003	8.022761e-001
4.404999999998299e-003	8.703853e-001
4.424999999998291e-003	9.447550e-001
4.444999999998284e-003	1.024231e+000
4.464999999998276e-003	1.107566e+000
4.484999999998268e-003	1.193437e+000
4.504999999998260e-003	1.280468e+000
4.524999999998253e-003	1.367253e+000
4.544999999998245e-003	1.452385e+000
4.564999999998237e-003	1.534479e+000
4.584999999998229e-003	1.612203e+000
4.604999999998222e-003	1.684305e+000
4.624999999998214e-003	1.749634e+000
4.644999999998206e-003	1.807162e+000
4.664999999998198e-003	1.856001e+000
4.684999999998191e-003	1.895410e+000
4.704999999998183e-003	1.924804e+000
4.724999999998175e-003	1.943753e+000
4.744999999998167e-003	1.951987e+000
4.764999999998160e-003	1.949387e+000
4.784999999998152e-003	1.935992e+000
4.804999999998144e-003	1.911992e+000
4.824999999998136e-003	1.877738e+000
4.844999999998129e-003	1.833732e+000
4.864999999998121e-003	1.780635e+000
4.884999999998113e-003	1.719262e+000
4.904999999998105e-003	1.650570e+000
4.924999999998098e-003	1.575648e+000
4.944999999998090e-003	1.495698e+000
4.964999999998082e-003	1.412015e+000
4.984999999998074e-003	1.325960e+000
5.004999999998067e-003	1.238930e+000
5.024999999998059e-003	1.152334e+000
5.044999999998051e-003	1.067567e+000
5.064999999998043e-003	9.859791e-001
5.084999999998036e-003	9.088565e-001
5.104999999998028e-003	8.374006e-001
5.124999999998020e-003	7.727107e-001
5.144999999998012e-003	7.157688e-001
5.164999999998005e-003	6.674280e-001
5.184999999997997e-003	6.284029e-001
5.204999999997989e-003	5.992619e-001
5.224999999997981e-003	5.804244e-001
5.244999999997974e-003	5.721648e-001
5.264999999997966e-003	5.746211e-001
5.284999999997958e-003	5.877854e-001
5.304999999997950e-003	6.114810e-001
5.324999999997943e-003	6.453586e-001
5.344999999997935e-003	6.889114e-001
5.364999999997927e-003	7.414857e-001
5.384999999997919e-003	8.022892e-001
5.404999999997912e-003	8.703985e-001
5.424999999997904e-003	9.447682e-001
5.444999999997896e-003	1.024244e+000
5.464999999997888e-003	1.107579e+000
5.484999999997881e-003	1.193450e+000
5.504999999997873e-003	1.280481e+000
5.524999999997865e-003	1.367266e+000
5.544999999997857e-003	1.452398e+000
5.564999999997849e-003	1.534492e+000
5.584999999997842e-003	1.612217e+000
5.604999999997834e-003	1.684319e+000
5.624999999997826e-003	1.749647e+000
5.644999999997818e-003	1.807176e+000
5.664999999997811e-003	1.856014e+000
5.684999999997803e-003	1.895423e+000
5.704999999997795e-003	1.924817e+000
5.724999999997787e-003	1.943767e+000
5.744999999997780e-003	1.952000e+000
5.764999999997772e-003	1.949401e+000
5.784999999997764e-003	1.936005e+000
5.804999999997756e-003	1.912006e+000
5.824999999997749e-003	1.877751e+000
5.844999999997741e-003	1.833745e+000
5.864999999997733e-003	1.780649e+000
5.884999999997725e-003	1.719276e+000
5.904999999997718e-003	1.650583e+000
5.924999999997710e-003	1.575661e+000
5.944999999997702e-003	1.495711e+000
5.964999999997694e-003	1.412029e+000
5.984999999997687e-003	1.325973e+000
6.004999999997679e-003	1.238943e+000
6.024999999997671e-003	1.152348e+000
6.044999999997663e-003	1.067580e+000
6.064999999997656e-003	9.859923e-001
6.084999999997648e-003	9.088696e-001
6.104999999997640e-003	8.374138e-001
6.124999999997632e-003	7.727239e-001
6.144999999997625e-003	7.157819e-001
6.164999999997617e-003	6.674411e-001
6.184999999997609e-003	6.284159e-001
6.204999999997601e-003	5.992749e-001
6.224999999997594e-003	5.804374e-001
6.244999999997586e-003	5.721779e-001
6.264999999997578e-003	5.746342e-001
6.284999999997570e-003	5.877985e-001
6.304999999997563e-003	6.114941e-001
6.324999999997555e-003	6.453717e-001
6.344999999997547e-003	6.889245e-001
6.364999999997539e-003	7.414988e-001
6.384999999997532e-003	8.023025e-001
6.404999999997524e-003	8.704117e-001
6.424999999997516e-003	9.447815e-001
6.444999999997508e-003	1.024258e+000
6.464999999997501e-003	1.107592e+000
6.484999999997493e-003	1.193463e+000
6.504999999997485e-003	1.280494e+000
6.524999999997477e-003	1.367280e+000
6.544999999997470e-003	1.452411e+000
6.564999999997462e-003	1.534505e+000
6.584999999997454e-003	1.612230e+000
6.604999999997446e-003	1.684332e+000
6.624999999997439e-003	1.749661e+000
6.644999999997431e-003	1.807189e+000
6.664999999997423e-003	1.856028e+000
6.684999999997415e-003	1.895437e+000
6.704999999997408e-003	1.924830e+000
6.724999999997400e-003	1.943780e+000
6.744999999997392e-003	1.952013e+000
6.764999999997384e-003	1.949414e+000
6.784999999997377e-003	1.936018e+000
6.804999999997369e-003	1.912019e+000
6.824999999997361e-003	1.877764e+000
6.844999999997353e-003	1.833758e+000
6.864999999997345e-003	1.780662e+000
6.884999999997338e-003	1.719289e+000
6.904999999997330e-003	1.650596e+000
6.924999999997322e-003	1.575674e+000
6.944999999997314e-003	1.495725e+000
6.964999999997307e-003	1.412042e+000
6.984999999997299e-003	1.325986e+000
7.004999999997291e-003	1.238956e+000
7.024999999997283e-003	1.152361e+000
7.044999999997276e-003	1.067594e+000
7.064999999997268e-003	9.860055e-001
7.084999999997260e-003	9.088829e-001
7.104999999997252e-003	8.374270e-001
7.124999999997245e-003	7.727370e-001
7.144999999997237e-003	7.157950e-001
7.164999999997229e-003	6.674542e-001
7.184999999997221e-003	6.284290e-001
7.204999999997214e-003	5.992880e-001
7.224999999997206e-003	5.804504e-001
7.244999999997198e-003	5.721909e-001
7.264999999997190e-003	5.746472e-001
7.284999999997183e-003	5.878116e-001
7.304999999997175e-003	6.115071e-001
7.324999999997167e-003	6.453848e-001
7.344999999997159e-003	6.889376e-001
7.364999999997152e-003	7.415119e-001
