time	V(b)
0.000000000000000e+000	6.918581e-001
6.428571428569929e-006	6.922462e-001
1.285714285713986e-005	6.926289e-001
1.928571428570979e-005	6.930062e-001
2.571428571427972e-005	6.933780e-001
3.214285714284965e-005	6.937444e-001
3.857142857141958e-005	6.941054e-001
4.499999999998949e-005	6.944609e-001
6.499999999998174e-005	6.955151e-001
8.499999999997399e-005	6.964886e-001
1.049999999999662e-004	6.973715e-001
1.249999999999585e-004	6.981561e-001
1.449999999999507e-004	6.988355e-001
1.649999999999430e-004	6.994044e-001
1.849999999999352e-004	6.998585e-001
2.049999999999275e-004	7.001948e-001
2.249999999999197e-004	7.004108e-001
2.449999999999120e-004	7.005053e-001
2.649999999999042e-004	7.004772e-001
2.849999999998965e-004	7.003265e-001
3.049999999998887e-004	7.000540e-001
3.249999999998809e-004	6.996617e-001
3.449999999998732e-004	6.991524e-001
3.649999999998654e-004	6.985298e-001
3.849999999998577e-004	6.977990e-001
4.049999999998499e-004	6.969658e-001
4.249999999998422e-004	6.960378e-001
4.449999999998344e-004	6.950238e-001
4.649999999998267e-004	6.939341e-001
4.849999999998189e-004	6.927813e-001
5.049999999998112e-004	6.915794e-001
5.249999999998034e-004	6.903449e-001
5.449999999997957e-004	6.890961e-001
5.649999999997879e-004	6.878536e-001
5.849999999997801e-004	6.866399e-001
6.049999999997724e-004	6.854789e-001
6.249999999997646e-004	6.843956e-001
6.449999999997569e-004	6.834152e-001
6.649999999997491e-004	6.825622e-001
6.849999999997414e-004	6.818593e-001
7.049999999997336e-004	6.813261e-001
7.249999999997259e-004	6.809782e-001
7.449999999997181e-004	6.808259e-001
7.649999999997104e-004	6.808741e-001
7.849999999997026e-004	6.811211e-001
8.049999999996949e-004	6.815594e-001
8.249999999996871e-004	6.821762e-001
8.449999999996793e-004	6.829537e-001
8.649999999996716e-004	6.838706e-001
8.849999999996638e-004	6.849031e-001
9.049999999996561e-004	6.860266e-001
9.249999999996483e-004	6.872156e-001
9.449999999996406e-004	6.884455e-001
9.649999999996328e-004	6.896932e-001
9.849999999996251e-004	6.909370e-001
1.004999999999617e-003	6.921575e-001
1.024999999999610e-003	6.933372e-001
1.044999999999602e-003	6.944607e-001
1.064999999999594e-003	6.955149e-001
1.084999999999586e-003	6.964884e-001
1.104999999999579e-003	6.973714e-001
1.124999999999571e-003	6.981559e-001
1.144999999999563e-003	6.988353e-001
1.164999999999555e-003	6.994042e-001
1.184999999999548e-003	6.998584e-001
1.204999999999540e-003	7.001947e-001
1.224999999999532e-003	7.004107e-001
1.244999999999524e-003	7.005051e-001
1.264999999999517e-003	7.004770e-001
1.284999999999509e-003	7.003263e-001
1.304999999999501e-003	7.000539e-001
1.324999999999493e-003	6.996616e-001
1.344999999999486e-003	6.991522e-001
1.364999999999478e-003	6.985296e-001
1.384999999999470e-003	6.977988e-001
1.404999999999462e-003	6.969656e-001
1.424999999999455e-003	6.960377e-001
1.444999999999447e-003	6.950236e-001
1.464999999999439e-003	6.939340e-001
1.484999999999431e-003	6.927811e-001
1.504999999999424e-003	6.915792e-001
1.524999999999416e-003	6.903446e-001
1.544999999999408e-003	6.890959e-001
1.564999999999400e-003	6.878534e-001
1.584999999999393e-003	6.866397e-001
1.604999999999385e-003	6.854787e-001
1.624999999999377e-003	6.843954e-001
1.644999999999369e-003	6.834149e-001
1.664999999999361e-003	6.825619e-001
1.684999999999354e-003	6.818590e-001
1.704999999999346e-003	6.813259e-001
1.724999999999338e-003	6.809779e-001
1.744999999999330e-003	6.808257e-001
1.764999999999323e-003	6.808739e-001
1.784999999999315e-003	6.811209e-001
1.804999999999307e-003	6.815592e-001
1.824999999999299e-003	6.821760e-001
1.844999999999292e-003	6.829534e-001
1.864999999999284e-003	6.838703e-001
1.884999999999276e-003	6.849029e-001
1.904999999999268e-003	6.860263e-001
1.924999999999261e-003	6.872153e-001
1.944999999999253e-003	6.884453e-001
1.964999999999245e-003	6.896930e-001
1.984999999999237e-003	6.909369e-001
2.004999999999230e-003	6.921573e-001
2.024999999999222e-003	6.933370e-001
2.044999999999214e-003	6.944606e-001
2.064999999999206e-003	6.955148e-001
2.084999999999199e-003	6.964882e-001
2.104999999999191e-003	6.973712e-001
2.124999999999183e-003	6.981558e-001
2.144999999999175e-003	6.988352e-001
2.164999999999168e-003	6.994041e-001
2.184999999999160e-003	6.998582e-001
2.204999999999152e-003	7.001945e-001
2.224999999999144e-003	7.004105e-001
2.244999999999137e-003	7.005050e-001
2.264999999999129e-003	7.004769e-001
2.284999999999121e-003	7.003262e-001
2.304999999999113e-003	7.000538e-001
2.324999999999106e-003	6.996614e-001
2.344999999999098e-003	6.991520e-001
2.364999999999090e-003	6.985295e-001
2.384999999999082e-003	6.977986e-001
2.404999999999075e-003	6.969655e-001
2.424999999999067e-003	6.960375e-001
2.444999999999059e-003	6.950234e-001
2.464999999999051e-003	6.939338e-001
2.484999999999044e-003	6.927809e-001
2.504999999999036e-003	6.915790e-001
2.524999999999028e-003	6.903445e-001
2.544999999999020e-003	6.890956e-001
2.564999999999013e-003	6.878532e-001
2.584999999999005e-003	6.866394e-001
2.604999999998997e-003	6.854784e-001
2.624999999998989e-003	6.843951e-001
2.644999999998982e-003	6.834147e-001
2.664999999998974e-003	6.825617e-001
2.684999999998966e-003	6.818588e-001
2.704999999998958e-003	6.813256e-001
2.724999999998951e-003	6.809777e-001
2.744999999998943e-003	6.808255e-001
2.764999999998935e-003	6.808736e-001
2.784999999998927e-003	6.811206e-001
2.804999999998920e-003	6.815590e-001
2.824999999998912e-003	6.821758e-001
2.844999999998904e-003	6.829532e-001
2.864999999998896e-003	6.838701e-001
2.884999999998889e-003	6.849027e-001
2.904999999998881e-003	6.860262e-001
2.924999999998873e-003	6.872151e-001
2.944999999998865e-003	6.884451e-001
2.964999999998857e-003	6.896929e-001
2.984999999998850e-003	6.909367e-001
3.004999999998842e-003	6.921571e-001
3.024999999998834e-003	6.933368e-001
3.044999999998826e-003	6.944604e-001
3.064999999998819e-003	6.955146e-001
3.084999999998811e-003	6.964880e-001
3.104999999998803e-003	6.973711e-001
3.124999999998795e-003	6.981556e-001
3.144999999998788e-003	6.988350e-001
3.164999999998780e-003	6.994039e-001
3.184999999998772e-003	6.998581e-001
3.204999999998764e-003	7.001944e-001
3.224999999998757e-003	7.004104e-001
3.244999999998749e-003	7.005048e-001
3.264999999998741e-003	7.004768e-001
3.284999999998733e-003	7.003261e-001
3.304999999998726e-003	7.000536e-001
3.324999999998718e-003	6.996613e-001
3.344999999998710e-003	6.991519e-001
3.364999999998702e-003	6.985293e-001
3.384999999998695e-003	6.977985e-001
3.404999999998687e-003	6.969653e-001
3.424999999998679e-003	6.960373e-001
3.444999999998671e-003	6.950232e-001
3.464999999998664e-003	6.939336e-001
3.484999999998656e-003	6.927807e-001
3.504999999998648e-003	6.915789e-001
3.524999999998640e-003	6.903443e-001
3.544999999998633e-003	6.890955e-001
3.564999999998625e-003	6.878530e-001
3.584999999998617e-003	6.866392e-001
3.604999999998609e-003	6.854782e-001
3.624999999998602e-003	6.843949e-001
3.644999999998594e-003	6.834145e-001
3.664999999998586e-003	6.825615e-001
3.684999999998578e-003	6.818585e-001
3.704999999998571e-003	6.813254e-001
3.724999999998563e-003	6.809775e-001
3.744999999998555e-003	6.808252e-001
3.764999999998547e-003	6.808734e-001
3.784999999998540e-003	6.811204e-001
3.804999999998532e-003	6.815587e-001
3.824999999998524e-003	6.821755e-001
3.844999999998516e-003	6.829529e-001
3.864999999998509e-003	6.838698e-001
3.884999999998501e-003	6.849025e-001
3.904999999998493e-003	6.860260e-001
3.924999999998485e-003	6.872150e-001
3.944999999998478e-003	6.884449e-001
3.964999999998470e-003	6.896926e-001
3.984999999998462e-003	6.909365e-001
4.004999999998454e-003	6.921570e-001
4.024999999998447e-003	6.933367e-001
4.044999999998439e-003	6.944602e-001
4.064999999998431e-003	6.955144e-001
4.084999999998423e-003	6.964878e-001
4.104999999998416e-003	6.973709e-001
4.124999999998408e-003	6.981554e-001
4.144999999998400e-003	6.988349e-001
4.164999999998392e-003	6.994038e-001
4.184999999998385e-003	6.998580e-001
4.204999999998377e-003	7.001942e-001
4.224999999998369e-003	7.004102e-001
4.244999999998361e-003	7.005047e-001
4.264999999998353e-003	7.004766e-001
4.284999999998346e-003	7.003259e-001
4.304999999998338e-003	7.000535e-001
4.324999999998330e-003	6.996611e-001
4.344999999998322e-003	6.991517e-001
4.364999999998315e-003	6.985291e-001
4.384999999998307e-003	6.977983e-001
4.404999999998299e-003	6.969652e-001
4.424999999998291e-003	6.960372e-001
4.444999999998284e-003	6.950231e-001
4.464999999998276e-003	6.939335e-001
4.484999999998268e-003	6.927806e-001
4.504999999998260e-003	6.915786e-001
4.524999999998253e-003	6.903441e-001
4.544999999998245e-003	6.890953e-001
4.564999999998237e-003	6.878528e-001
4.584999999998229e-003	6.866390e-001
4.604999999998222e-003	6.854780e-001
